학교생활	0	2	24	0	0	0	0	2	7	3	3	0	116	0	1	10	1	0	0	0	3	0	0	1	0	2	0	0	12	0	0	2	0	0	0	1	1	2	0	4	0	0	0	8	2	0	1	0	0	0	0	0	0	0	0
대학생활	11	12	77	0	4	0	2	11	85	96	10	3	19	4	0	4	19	352	0	0	13	0	1	2	2	0	11	0	2	0	0	66	8	1	0	2	0	42	0	6	3	0	0	644	0	14	1	9	92	12	0	1	0	0	96
진출분야	1	36	1	0	0	11	0	156	241	29	7	0	4	0	0	11	307	0	143	0	9	0	2	8	0	11	0	0	4	2	53	125	45	1	47	2	0	32	0	31	0	2	0	11	14	31	8	4	14	283	1	0	47	5	0
저학년	82	6	2	0	0	92	0	0	88	0	2	0	0	0	0	123	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	79	80	3	0	2	0	1	0	1	57	0	0	0	0	0	0	110	0	0	0	0	0	0	0
지원	16	39	10	2	119	15	86	18	158	0	11	168	29	97	3	57	146	0	19	0	52	66	59	56	12	2	4	0	0	10	14	31	7	33	3	45	59	69	10	150	27	17	157	23	1	5	18	24	6	6	0	6	0	17	0
신청	128	73	0	0	4	26	7	10	49	0	3	7	5	1	1	9	16	0	4	2	6	36	24	26	0	0	2	1	10	0	4	15	4	4	1	69	1	2	4	22	42	3	2	8	0	1	17	2	0	7	0	0	0	0	0
검사	4	5	7	620	10	3	3	108	168	0	2	5	26	1	0	47	103	0	2	60	32	1	5	8	0	0	53	0	14	4	0	101	169	5	322	42	5	31	0	183	4	169	8	12	0	21	2	6	1	56	212	0	179	4	0
전공	11	85	306	1	11	37	6	77	324	63	44	19	75	7	15	38	261	0	16	0	40	10	28	73	2	66	125	79	31	15	101	0	253	21	63	22	4	125	2	92	9	6	0	97	0	218	4	11	1	168	2	0	73	28	0
탐색	6	7	0	127	5	3	0	112	74	10	3	6	27	0	0	8	78	0	5	91	7	2	10	22	0	8	45	80	7	4	169	253	0	7	22	8	0	10	2	76	1	4	0	11	0	78	2	2	1	68	103	0	31	7	0
권유	35	22	2	2	14	28	2	13	50	0	9	8	8	2	5	8	14	0	1	1	9	5	15	16	0	1	1	3	33	4	5	21	7	0	1	14	1	30	0	24	17	3	0	11	0	2	1	2	0	2	0	0	0	37	0
인성검사	1	1	0	169	3	0	0	0	75	0	0	2	1	1	0	31	70	0	0	0	26	1	1	2	0	0	47	0	3	1	322	63	22	1	0	2	0	26	0	19	1	5	3	0	0	7	2	6	0	47	0	0	125	1	0
과정	79	181	13	1	21	54	12	11	194	2	6	32	17	11	1	11	29	0	9	0	14	11	49	46	1	2	2	2	45	69	42	22	8	14	2	0	8	7	5	71	29	39	4	27	1	4	13	3	1	5	0	0	0	13	0
코칭	1	6	0	3	34	1	66	1	23	0	0	37	5	2	1	2	5	0	0	0	5	44	8	4	1	0	0	0	59	1	5	4	0	1	0	8	0	8	0	23	3	1	17	1	0	2	2	4	3	0	0	2	1	0	0
경험	19	70	21	26	41	13	33	26	132	57	39	110	16	20	15	15	66	1	12	1	65	29	12	17	2	42	32	1	69	2	31	125	10	30	26	7	8	0	0	131	14	5	3	59	0	40	11	28	3	37	1	0	26	21	0
