검사	8	623	9	11	1452	21	6	0	175	15	55	128	0	394	3	6	4	13	19	2	0	3	0	35	256	0	0	880	95	65	267	0	7	547	0	36	406	8	0	41	0	0	8	5	89	15	11	480	6	0
인성검사	1	95	3	0	457	6	0	0	168	4	5	0	0	221	1	1	3	3	6	0	0	0	0	6	197	0	880	0	84	37	220	0	0	0	0	20	65	1	0	33	0	0	0	1	81	2	2	378	2	0
관리	67	109	959	912	84	68	91	868	27	102	766	2	7	1043	63	914	1	44	97	40	1	994	846	116	95	853	95	84	0	162	124	2	105	0	31	20	255	14	15	14	0	0	8	14	192	23	9	83	47	13
지원	40	25	58	17	34	311	356	0	10	511	88	0	16	412	282	42	12	143	236	8	0	34	0	134	115	14	65	37	162	0	311	0	481	0	6	10	421	106	31	401	1	0	7	25	209	65	51	2	41	366
분야	32	410	192	9	28	41	103	177	1127	98	90	0	1	1335	43	46	6	100	37	88	605	36	10	217	716	6	267	220	124	311	0	1	117	5	0	153	282	10	12	23	384	0	21	29	285	19	18	195	101	11
저학년	151	351	8	2	0	0	0	0	0	0	0	0	0	189	0	221	0	0	0	0	0	2	0	1	173	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	3	114	0	0	0
소개	130	39	12	7	1	49	1310	10	2	512	59	0	24	237	338	6	1	47	195	39	1	5	0	93	49	7	7	0	105	481	117	0	0	0	0	4	313	149	2	39	51	0	2	28	204	14	29	0	16	137
직업선호도	0	367	0	1	469	0	0	0	1	0	2	0	0	5	0	0	0	2	0	0	0	0	0	5	3	0	547	0	0	0	5	0	0	0	0	0	7	0	0	0	0	0	1	0	1	0	0	0	0	0
개인별	0	299	0	0	0	0	0	0	0	320	46	0	0	0	0	0	0	0	6	0	0	0	0	299	0	0	0	0	31	6	0	0	0	0	0	0	0	0	9	0	0	299	0	0	4	0	0	0	0	6
전공관련	2	397	92	1	0	4	1	117	127	6	7	0	0	176	0	4	1	11	3	52	0	17	0	32	555	1	36	20	20	10	153	0	4	0	0	0	33	2	2	2	0	0	2	1	125	4	0	33	1	2
직무	92	225	184	56	159	226	197	65	114	378	105	1	5	598	83	54	7	108	205	58	8	53	10	420	293	10	406	65	255	421	282	1	313	7	0	33	0	47	15	62	51	0	22	43	428	52	51	64	41	106
코칭	3	6	6	0	5	69	125	0	0	87	7	0	5	38	6	2	0	12	94	0	0	3	0	10	9	3	8	1	14	106	10	0	149	0	0	2	47	0	0	40	0	0	4	7	14	3	6	2	0	23
취업동아리	12	2	2	0	0	1	1	0	0	3	29	0	0	84	1	7	1	56	9	0	6	1	0	11	5	0	0	0	15	31	12	0	2	0	9	2	15	0	0	0	0	0	0	16	0	3	36	0	0	0
입사지원서	3	2	3	2	32	22	39	0	1	164	6	0	0	13	39	2	1	2	5	4	0	0	0	10	9	0	41	33	14	401	23	0	39	0	0	2	62	40	0	0	0	0	0	3	18	0	4	0	5	0
선배들	0	7	0	0	0	0	0	0	81	1	2	0	2	79	1	0	0	0	0	0	79	0	0	51	2	0	0	0	0	1	384	0	51	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	29	1
조사서	0	299	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	299	1	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3학년	6	23	35	64	0	3	1	2	1	1	22	0	2	176	0	40	5	9	3	2	0	10	0	5	17	3	8	0	8	7	21	0	2	1	0	2	22	4	0	0	0	0	0	16	14	29	5	0	80	0
신청	197	53	111	0	0	13	24	1	3	21	12	4	0	94	4	41	1	58	43	2	1	10	0	50	25	2	5	1	14	25	29	1	28	0	0	1	43	7	16	3	0	0	16	0	9	10	77	0	5	0
경험	47	361	214	41	80	101	172	272	184	311	63	1	3	449	63	31	6	53	150	221	1	72	11	45	359	23	89	81	192	209	285	1	204	1	4	125	428	14	0	18	0	0	14	9	0	49	31	80	44	35
권유	48	30	39	8	3	25	7	0	2	15	18	2	2	88	3	49	0	34	15	5	0	22	0	35	37	9	15	2	23	65	19	3	14	0	0	4	52	3	3	0	0	0	29	10	49	0	37	0	61	4
참여	363	71	28	5	1	23	20	21	1	16	21	2	0	89	6	14	2	36	36	4	0	9	0	21	18	1	11	2	9	51	18	114	29	0	0	0	51	6	36	4	0	0	5	77	31	37	0	0	9	2
신뢰도	0	54	0	0	156	1	0	0	168	1	3	0	0	210	0	0	0	0	1	0	0	0	0	0	207	0	480	378	83	2	195	0	0	0	0	33	64	2	0	0	0	0	0	0	80	0	0	0	0	0
영어	18	133	61	5	1	13	11	5	7	11	39	0	0	175	4	65	1	43	38	5	0	44	0	34	54	7	6	2	47	41	101	0	16	0	0	1	41	0	0	5	29	0	80	5	44	61	9	0	0	1
지원동기	2	0	4	2	0	40	31	0	0	68	8	0	3	95	44	3	0	4	89	1	0	1	0	4	16	2	0	0	13	366	11	0	137	0	6	2	106	23	0	0	1	0	0	0	35	4	2	0	1	0
