전공관련	1	3	2	0	1	1	96	66	0	5	2	0	0	8	3	38	0	0	337	2	7	13	15	1	137	0	0	5	0	1	0	0	0	68	2	3	113	0	0	0	1	1	0	0
조사서	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0
저학년	69	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	129	94	111	0	0	0	0	94	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
취업	116	58	49	24	74	144	151	80	1	323	241	13	9	373	68	12	357	66	385	153	42	121	220	10	141	2	221	169	3	11	68	216	3	0	25	114	572	354	91	4	2	19	119	141
입사지원서	3	15	1	30	31	0	1	0	0	113	4	32	0	1	2	4	0	1	9	0	0	30	33	22	2	0	0	244	0	0	2	0	0	25	0	31	19	0	0	23	0	6	8	0
소개	81	41	6	0	907	1	2	6	14	380	52	238	1	31	139	32	0	5	37	35	5	0	4	279	3	0	0	360	0	6	3	0	0	114	31	0	84	2	32	74	98	69	27	0
분야	21	28	484	20	76	1	820	139	0	68	55	32	463	80	28	69	0	22	455	20	20	150	164	41	165	10	0	165	0	3	113	0	0	572	19	84	0	9	182	5	7	6	30	0
취업동아리	9	0	6	0	1	0	0	1	0	0	20	1	3	40	7	0	0	7	3	19	0	0	0	0	1	0	5	21	0	0	0	0	0	354	0	2	9	0	0	0	0	7	20	0
선배들	0	0	65	0	0	0	67	0	0	0	1	0	65	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	32	182	0	0	0	0	0	1	0
코칭	2	35	2	2	59	0	0	0	4	50	2	4	0	4	50	0	0	1	5	1	3	1	3	5	2	0	0	47	0	2	0	0	0	4	23	74	5	0	0	0	9	2	5	0
지원동기	2	26	1	0	22	0	0	3	0	41	4	28	0	3	69	0	0	3	12	6	1	0	0	44	0	0	2	238	0	2	1	0	0	2	0	98	7	0	0	9	0	3	0	0
최종	1	37	5	1	67	0	0	2	0	12	18	41	0	16	112	0	0	1	9	0	4	1	6	72	0	0	0	51	0	1	1	0	0	19	6	69	6	7	0	2	3	0	2	0
진행	22	20	10	15	16	4	2	7	4	27	76	7	0	31	76	5	0	7	37	3	14	14	43	4	23	0	6	42	3	0	0	0	0	119	8	27	30	20	1	5	0	2	0	1
나눔	0	0	0	0	0	144	0	0	0	0	0	0	0	1	0	7	141	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	1	0
