첨삭	3	8	0	14	1	0	2	350	0	0	273	0	1	6	4	0	0	7	4	24	0	16	9	0	14	0	0	0	1	0	0	0	0	0	199	0	0	5	5	1	1	26	0	0	4	6	0	1	0	0	4	3	0	0	32	0	4	0	0	0	0	0	43	9	0	0	3	1	11	3	21	15	11	1	2	10	0	1	2	1	1	5	0	0	0
대학생활	678	61	0	36	0	406	0	7	73	298	18	5	102	68	67	0	7	0	2	231	0	290	0	1	2	0	0	34	0	0	0	31	0	51	8	0	0	0	3	248	0	4	0	0	4	164	0	0	0	1	127	24	1	0	1	31	5	0	0	0	0	80	3	0	0	0	0	194	0	2	6	1	0	0	5	0	0	0	87	0	0	0	0	1	64
공기업	54	15	0	31	39	0	3	37	9	2	37	0	2	165	30	11	4	2	0	539	0	86	32	3	150	0	0	17	3	0	2	0	0	9	84	0	37	5	127	6	55	2	0	14	31	22	0	8	0	0	69	33	0	0	3	0	37	7	0	0	0	2	19	8	2	142	30	18	21	3	1216	46	26	6	31	21	1	1	0	5	2	47	2	14	0
준비	491	754	3	108	700	366	25	107	1007	591	93	10	92	254	457	636	24	231	539	0	0	722	575	17	144	0	177	185	219	0	2	0	0	155	266	1	286	26	783	26	77	11	182	17	64	73	210	141	206	117	113	138	1	0	54	1	138	138	78	78	113	67	72	25	2	95	50	239	54	79	874	86	77	15	766	24	132	14	125	39	21	96	8	31	0
취업진로희망	492	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	492	0	0	0	0	298	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
전공	979	202	0	14	36	411	7	33	416	254	23	6	152	132	211	0	16	290	86	722	0	0	80	4	198	0	0	409	197	0	2	68	1	448	89	1	45	7	231	31	4	9	182	4	16	35	207	17	205	6	14	48	0	0	12	33	36	10	2	0	0	125	27	15	2	28	5	27	45	11	176	7	21	64	221	3	7	2	58	5	17	10	3	92	0
면접	12	13	0	67	30	0	1	53	0	0	34	0	3	17	3	0	9	0	32	575	0	80	0	8	17	0	0	1	3	2	0	0	0	3	167	0	6	71	23	0	9	3	0	3	27	3	1	3	1	0	11	6	0	0	70	0	29	14	0	0	0	1	71	11	0	9	13	25	6	4	97	72	27	7	17	14	157	162	0	0	3	2	2	5	0
대학일자리본부	38	3	0	363	1	10	0	1	0	245	0	11	0	1	17	0	0	1	3	17	0	4	8	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	4	24	1	0	0	3	15	4	0	0	0	0	1	0	245	0	0	0	4	22	0	0	0	6	0	1	0	0	0	33	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0
희망	573	81	0	24	29	0	10	37	13	0	27	1	195	39	53	0	14	2	150	144	492	198	17	3	0	0	0	51	6	298	3	0	298	31	92	0	50	10	36	6	10	8	0	238	14	13	0	9	0	0	25	86	0	0	1	0	21	5	51	51	0	3	26	13	3	37	11	27	40	11	319	19	38	1	12	18	0	0	0	11	7	21	4	36	0
집중상담	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
저학년	1	0	0	123	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	7	0	0	0	0	0	100	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
탐색	1381	343	349	6	4	154	367	7	147	54	2	1	0	68	27	0	0	34	17	185	0	409	1	0	51	0	0	0	109	0	333	333	1	180	8	173	3	2	124	4	3	2	103	4	6	30	103	2	103	1	4	2	0	161	0	0	8	0	0	0	0	365	1	4	0	2	0	3	4	1	60	0	2	0	25	0	0	0	25	1	1	2	2	5	0
인성검사	80	0	0	1	2	313	338	6	168	0	0	0	0	4	3	0	1	0	3	219	0	197	3	0	6	0	0	109	0	0	0	0	0	20	34	0	1	1	135	31	0	33	168	1	2	0	349	0	194	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	0	141	0	4	0	20	1	0	0	0	0	1	2	0	23	0
개인별	298	0	0	0	9	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	298	0	2	0	298	0	0	0	0	0	0	0	298	0	2	0	0	0	0	0	9	0	0	0	0	11	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	9	0	0	2	0	0	0	0	0	0	0
직업선호도	348	334	0	0	0	0	443	0	1	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	3	0	0	333	0	0	0	256	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	128	0	0	0	2	0	2	0	0	8	9	0	0	0	0	0	0	0	0	0	0
진로탐색	397	257	15	0	0	30	271	0	0	31	0	0	0	22	0	0	0	31	0	0	0	68	0	0	0	0	0	333	0	0	256	0	0	34	0	0	0	0	0	1	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
조사서	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	1	0	0	298	0	0	1	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
전공관련	361	21	0	2	3	142	0	3	126	116	1	0	1	6	85	0	0	51	9	155	0	448	3	0	31	0	0	180	20	0	0	34	0	0	8	1	1	1	43	6	2	2	33	0	0	2	33	1	33	2	4	15	0	0	1	0	0	3	0	0	0	73	0	1	0	6	0	5	0	1	21	0	3	1	39	0	0	0	46	1	1	0	2	0	0
지원	15	33	0	29	39	0	34	216	7	0	291	15	6	58	22	0	199	8	84	266	0	89	167	0	92	0	0	8	34	2	0	0	0	8	0	0	29	66	55	1	28	278	0	4	34	30	2	20	0	0	51	27	0	0	219	0	25	5	0	0	0	0	94	25	0	25	32	15	26	9	351	42	11	2	16	33	14	7	1	1	5	20	16	2	0
연계상담	580	0	173	0	0	1	0	0	1	0	0	0	0	61	0	0	0	0	0	1	0	1	0	0	0	0	0	173	0	0	0	0	0	1	0	0	0	0	0	59	0	0	0	0	0	61	0	0	0	61	0	0	0	0	0	59	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
취득	13	6	0	104	16	0	1	7	13	60	2	0	60	35	282	0	0	0	37	286	0	45	6	3	50	0	209	3	1	0	0	0	0	1	29	0	0	2	12	2	7	2	0	2	7	19	0	7	0	1	8	79	1	0	1	0	44	8	0	0	0	0	4	2	0	4	5	34	4	65	55	9	8	2	4	3	0	1	61	24	1	25	4	1	0
코칭	5	3	0	3	0	0	5	59	0	0	86	2	0	4	4	0	5	0	5	26	0	7	71	0	10	0	0	2	1	0	0	0	0	1	66	0	2	0	1	0	0	32	0	2	5	1	2	1	0	0	4	3	0	0	10	0	0	4	0	0	0	0	14	14	0	1	2	6	4	2	17	6	6	1	7	4	1	1	0	0	0	2	0	0	0
취업준비	98	30	0	33	18	142	5	23	138	6	33	0	1	59	25	5	5	3	127	783	0	231	23	4	36	0	7	124	135	0	1	0	0	43	55	0	12	1	0	3	38	5	119	1	21	19	146	13	143	1	52	13	0	0	1	0	31	10	0	0	0	0	11	6	1	44	15	36	12	5	227	9	6	1	60	6	1	0	2	2	4	13	2	28	0
