로드맵	0	0	0	0	1	0	0	0	0	0	0	0	0	149	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0
공기업	5	20	12	15	5	7	0	3	0	1	9	0	6	0	7	2	8	1	4	37	0	34	0	58	0	0	0	0	2	0	3	8	5	2	1	0	1	0	0	30	7	2	4	5	13	0	20	0	0	3	2
탐색	0	4	2	3	2	4	0	0	1	0	1	0	2	0	0	64	0	0	1	9	0	83	0	11	0	0	0	2	0	0	1	62	6	1	0	0	0	0	0	1	1	3	0	2	2	0	3	0	0	0	34
인성검사	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	23	0	3	1	0	1	0	3	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
역량	3	7	1	3	0	1	1	0	0	3	11	0	2	0	10	0	12	6	21	4	0	70	0	35	1	0	0	3	1	0	0	3	106	0	0	0	29	0	2	0	1	91	1	3	3	1	0	0	0	0	1
회계	3	55	36	21	5	27	0	6	0	7	8	0	2	0	8	64	4	6	7	9	0	109	0	79	0	0	0	8	62	0	3	0	4	3	0	6	2	0	3	8	0	0	22	15	12	0	5	0	1	0	2
영어	4	35	21	8	15	18	0	3	2	0	1	0	2	0	5	31	7	0	9	12	0	7	0	15	29	0	0	5	6	1	106	4	0	0	0	1	0	0	8	23	4	27	0	3	20	0	1	0	0	0	1
진로상담	9	3	3	18	0	0	0	0	0	0	0	0	13	19	0	0	1	0	0	1	29	3	0	0	0	0	0	2	1	7	0	3	0	0	0	0	0	0	1	1	0	1	0	3	1	19	0	0	0	0	0
취업동아리	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	79	0	0	1	0	0	0	0	0	0	0	0	0
입사지원서	2	0	0	0	1	0	0	0	0	0	5	0	0	0	9	0	0	13	2	0	0	14	0	123	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	61	0
